Areaname,STCOU,ELE025180D,ELE025184D,ELE025188D,ELE025192D,ELE025196D,ELE025200D,ELE025204D,ELE025208D,ELE035180D,ELE035184D,ELE035188D,ELE035192D,ELE035196D,ELE035200D,ELE035204D,ELE035208D
UNITED STATES,0,41,40.6,45.6,43,49.2,48.4,48.3,52.9,50.7,58.8,53.4,37.4,40.7,47.9,50.7,45.7
ALABAMA,1000,47.4,38.3,39.9,40.9,43.2,41.6,36.8,38.7,48.8,60.5,59.2,47.6,50.1,56.5,62.5,60.3
"Autauga, AL",1001,38.8,28.2,31.4,30.9,32.5,28.7,23.7,25.8,56.9,70.1,67.1,55.9,61.7,69.7,75.7,73.6
"Baldwin, AL",1003,29.8,22,26,26.2,27.1,24.8,22.5,23.8,65.8,75.5,72.8,56.5,62.6,72.4,76.4,75.3
"Barbour, AL",1005,49.5,45.2,43.1,46.4,53.5,53.4,44.8,49,46.3,53.7,55.7,42.9,40.5,45.2,54.7,50.4
"Bibb, AL",1007,55.1,38.1,43.6,43.2,44,38.2,27.5,26.6,44.3,61.3,56.1,46.5,48.2,60.2,72,72.4
"Blount, AL",1009,44.5,29.9,33.1,32.9,33,27.7,18.3,14.5,53.6,68.2,64.6,53.8,59.1,70.5,80.9,84
"Bullock, AL",1011,70.3,66.7,68.1,67.7,70.2,69.2,68.1,74.1,25.7,32,31,26,26.3,29.2,31.7,25.7
"Butler, AL",1013,49.7,41.8,46.4,47.4,49.3,46.2,40.6,43.1,45.5,56.7,52.6,41.2,43.1,52.9,59.2,56.5
"Calhoun, AL",1015,47.9,33.5,36.7,38.4,42.6,40.6,33.3,33.2,49.2,61.2,58.3,48.2,49,57.3,65.9,65.7
"Chambers, AL",1017,55.9,39.4,39.4,45.4,49.7,47.5,41,45.5,40.9,59.6,59.4,43.4,42.4,51,58.5,53.9
"Cherokee, AL",1019,58.5,47.9,52.1,53.6,52.2,44.7,33.6,23.7,38.6,51,47,34.9,36.2,53.1,65.5,74.9
"Chilton, AL",1021,41,31,30.3,34.2,37.5,31.8,22.6,20.7,57.6,65,69.4,56.2,55.4,66.7,76.9,78.5
"Choctaw, AL",1023,55.9,45.9,49,52.1,57.1,50.3,45.7,46.1,43.4,53.9,50.9,40.6,36.8,48.8,53.9,53.5
"Clarke, AL",1025,49.2,41.2,42.1,42.9,47.7,43.5,40.6,44,47.4,58.1,57,46.9,47.3,55.7,59.1,55.6
"Clay, AL",1027,49.7,28.9,30.6,36,41.4,34.8,28.8,25.8,48.1,68.2,66.7,49.7,48.4,63.2,70.3,73.1
"Cleburne, AL",1029,45.3,26.8,30.8,40.9,41,32.7,24,18,52.8,70.5,68.4,46.3,48.6,65.5,75.4,80.3
"Coffee, AL",1031,45.8,28.9,32.3,37.2,36.5,33.8,25.4,25.2,50.5,69.8,66.6,48.9,55.1,64.4,73.9,74.1
"Colbert, AL",1033,62.7,52.3,56.5,54.4,50.3,49,44.3,39.1,33.1,45.3,42.2,36,40.9,48.8,55.1,59.3
"Conecuh, AL",1035,50.2,43.2,47.5,50,53.2,50.1,45.2,49.4,47.7,55.8,51.2,39.1,38.3,48.6,54.3,50
"Coosa, AL",1037,56.6,40.7,43.4,48.6,51.3,46.1,41.1,40.9,40.7,59,56.2,41.1,41.7,52.2,58.1,58.4
"Covington, AL",1039,46.3,27.5,31.8,35.8,38.1,32.6,23.4,20.5,51.5,71.6,67.3,49,50.7,65.8,76,78.8
"Crenshaw, AL",1041,51.4,36.1,41,45.4,48.8,40.3,30.9,30.8,47.1,61.9,58.4,44.2,43.6,58.2,68.7,68.7
