Areaname,STCOU
UNITED STATES,0
ALABAMA,1000
"Autauga, AL",1001
"Baldwin, AL",1003
"Barbour, AL",1005
"Bibb, AL",1007
"Blount, AL",1009
"Bullock, AL",1011
"Butler, AL",1013
"Calhoun, AL",1015
"Chambers, AL",1017
"Cherokee, AL",1019
"Chilton, AL",1021
"Choctaw, AL",1023
"Clarke, AL",1025
"Clay, AL",1027
"Cleburne, AL",1029
"Coffee, AL",1031
"Colbert, AL",1033
"Conecuh, AL",1035
"Coosa, AL",1037
"Covington, AL",1039
"Crenshaw, AL",1041
"Cullman, AL",1043
"Dale, AL",1045
"Dallas, AL",1047
"DeKalb, AL",1049
"Elmore, AL",1051
"Escambia, AL",1053
"Etowah, AL",1055
"Fayette, AL",1057
"Franklin, AL",1059
"Geneva, AL",1061
"Greene, AL",1063
"Hale, AL",1065
"Henry, AL",1067
"Houston, AL",1069
"Jackson, AL",1071
"Jefferson, AL",1073
"Lamar, AL",1075
"Lauderdale, AL",1077
"Lawrence, AL",1079
"Lee, AL",1081
"Limestone, AL",1083
"Lowndes, AL",1085
"Macon, AL",1087
"Madison, AL",1089
"Marengo, AL",1091
"Marion, AL",1093
"Marshall, AL",1095
"Mobile, AL",1097
"Monroe, AL",1099
"Montgomery, AL",1101
"Morgan, AL",1103
"Perry, AL",1105
"Pickens, AL",1107
"Pike, AL",1109
"Randolph, AL",1111
"Russell, AL",1113
"St. Clair, AL",1115
"Shelby, AL",1117
"Sumter, AL",1119
"Talladega, AL",1121
"Tallapoosa, AL",1123
"Tuscaloosa, AL",1125
"Walker, AL",1127
"Washington, AL",1129
"Wilcox, AL",1131
"Winston, AL",1133
ALASKA,2000
"Aleutians East, AK",2013
"Aleutians West, AK",2016
"Anchorage, AK",2020
"Bethel, AK",2050
"Bristol Bay, AK",2060
"Denali, AK",2068
"Dillingham, AK",2070
"Fairbanks North Star, AK",2090
"Haines, AK",2100
"Hoonah-Angoon, AK",2105
"Juneau, AK",2110
"Kenai Peninsula, AK",2122
"Ketchikan Gateway, AK",2130
"Kodiak Island, AK",2150
"Lake and Peninsula, AK",2164
"Matanuska-Susitna, AK",2170
"Nome, AK",2180
"North Slope, AK",2185
"Northwest Arctic, AK",2188
"Petersburg, AK",2195
"Prince of Wales-Hyder, AK",2198
"Sitka, AK",2220
"Skagway, AK",2230
"Southeast Fairbanks, AK",2240
"Valdez-Cordova, AK",2261
"Wade Hampton, AK",2270
"Wrangell, AK",2275
"Yakutat, AK",2282
"Yukon-Koyukuk, AK",2290
ARIZONA,4000
"Apache, AZ",4001
"Cochise, AZ",4003
"Coconino, AZ",4005
"Gila, AZ",4007
"Graham, AZ",4009
"Greenlee, AZ",4011
"La Paz, AZ",4012
"Maricopa, AZ",4013
"Mohave, AZ",4015
"Navajo, AZ",4017
"Pima, AZ",4019
"Pinal, AZ",4021
"Santa Cruz, AZ",4023
"Yavapai, AZ",4025
"Yuma, AZ",4027
ARKANSAS,5000
"Arkansas, AR",5001
"Ashley, AR",5003
"Baxter, AR",5005
"Benton, AR",5007
"Boone, AR",5009
"Bradley, AR",5011
"Calhoun, AR",5013
"Carroll, AR",5015
"Chicot, AR",5017
"Clark, AR",5019
"Clay, AR",5021
"Cleburne, AR",5023
"Cleveland, AR",5025
"Columbia, AR",5027
"Conway, AR",5029
"Craighead, AR",5031
"Crawford, AR",5033
"Crittenden, AR",5035
"Cross, AR",5037
"Dallas, AR",5039
"Desha, AR",5041
"Drew, AR",5043
"Faulkner, AR",5045
"Franklin, AR",5047
"Fulton, AR",5049
"Garland, AR",5051
"Grant, AR",5053
"Greene, AR",5055
"Hempstead, AR",5057
"Hot Spring, AR",5059
"Howard, AR",5061
"Independence, AR",5063
"Izard, AR",5065
"Jackson, AR",5067
"Jefferson, AR",5069
"Johnson, AR",5071
"Lafayette, AR",5073
"Lawrence, AR",5075
"Lee, AR",5077
"Lincoln, AR",5079
"Little River, AR",5081
"Logan, AR",5083
"Lonoke, AR",5085
"Madison, AR",5087
"Marion, AR",5089
"Miller, AR",5091
"Mississippi, AR",5093
"Monroe, AR",5095
"Montgomery, AR",5097
"Nevada, AR",5099
"Newton, AR",5101
"Ouachita, AR",5103
"Perry, AR",5105
"Phillips, AR",5107
"Pike, AR",5109
"Poinsett, AR",5111
"Polk, AR",5113
"Pope, AR",5115
"Prairie, AR",5117
"Pulaski, AR",5119
"Randolph, AR",5121
"St. Francis, AR",5123
"Saline, AR",5125
"Scott, AR",5127
"Searcy, AR",5129
"Sebastian, AR",5131
"Sevier, AR",5133
"Sharp, AR",5135
"Stone, AR",5137
"Union, AR",5139
"Van Buren, AR",5141
"Washington, AR",5143
"White, AR",5145
"Woodruff, AR",5147
"Yell, AR",5149
CALIFORNIA,6000
"Alameda, CA",6001
"Alpine, CA",6003
"Amador, CA",6005
"Butte, CA",6007
"Calaveras, CA",6009
"Colusa, CA",6011
"Contra Costa, CA",6013
"Del Norte, CA",6015
"El Dorado, CA",6017
"Fresno, CA",6019
"Glenn, CA",6021
"Humboldt, CA",6023
"Imperial, CA",6025
"Inyo, CA",6027
"Kern, CA",6029
"Kings, CA",6031
"Lake, CA",6033
"Lassen, CA",6035
"Los Angeles, CA",6037
"Madera, CA",6039
"Marin, CA",6041
"Mariposa, CA",6043
"Mendocino, CA",6045
"Merced, CA",6047
"Modoc, CA",6049
"Mono, CA",6051
"Monterey, CA",6053
"Napa, CA",6055
"Nevada, CA",6057
"Orange, CA",6059
"Placer, CA",6061
"Plumas, CA",6063
"Riverside, CA",6065
"Sacramento, CA",6067
"San Benito, CA",6069
"San Bernardino, CA",6071
"San Diego, CA",6073
"San Francisco, CA",6075
"San Joaquin, CA",6077
"San Luis Obispo, CA",6079
"San Mateo, CA",6081
"Santa Barbara, CA",6083
"Santa Clara, CA",6085
"Santa Cruz, CA",6087
"Shasta, CA",6089
"Sierra, CA",6091
"Siskiyou, CA",6093
"Solano, CA",6095
"Sonoma, CA",6097
"Stanislaus, CA",6099
"Sutter, CA",6101
"Tehama, CA",6103
"Trinity, CA",6105
"Tulare, CA",6107
"Tuolumne, CA",6109
"Ventura, CA",6111
"Yolo, CA",6113
"Yuba, CA",6115
COLORADO,8000
"Adams, CO",8001
"Alamosa, CO",8003
"Arapahoe, CO",8005
"Archuleta, CO",8007
"Baca, CO",8009
"Bent, CO",8011
"Boulder, CO",8013
"Broomfield, CO",8014
"Chaffee, CO",8015
"Cheyenne, CO",8017
"Clear Creek, CO",8019
"Conejos, CO",8021
"Costilla, CO",8023
"Crowley, CO",8025
"Custer, CO",8027
"Delta, CO",8029
"Denver, CO",8031
"Dolores, CO",8033
"Douglas, CO",8035
"Eagle, CO",8037
"Elbert, CO",8039
"El Paso, CO",8041
"Fremont, CO",8043
"Garfield, CO",8045
"Gilpin, CO",8047
"Grand, CO",8049
"Gunnison, CO",8051
"Hinsdale, CO",8053
"Huerfano, CO",8055
"Jackson, CO",8057
"Jefferson, CO",8059
"Kiowa, CO",8061
"Kit Carson, CO",8063
"Lake, CO",8065
"La Plata, CO",8067
"Larimer, CO",8069
"Las Animas, CO",8071
"Lincoln, CO",8073
"Logan, CO",8075
"Mesa, CO",8077
"Mineral, CO",8079
"Moffat, CO",8081
"Montezuma, CO",8083
"Montrose, CO",8085
"Morgan, CO",8087
"Otero, CO",8089
"Ouray, CO",8091
"Park, CO",8093
"Phillips, CO",8095
"Pitkin, CO",8097
"Prowers, CO",8099
"Pueblo, CO",8101
"Rio Blanco, CO",8103
"Rio Grande, CO",8105
"Routt, CO",8107
"Saguache, CO",8109
"San Juan, CO",8111
"San Miguel, CO",8113
"Sedgwick, CO",8115
"Summit, CO",8117
"Teller, CO",8119
"Washington, CO",8121
"Weld, CO",8123
"Yuma, CO",8125
CONNECTICUT,9000
"Fairfield, CT",9001
"Hartford, CT",9003
"Litchfield, CT",9005
"Middlesex, CT",9007
"New Haven, CT",9009
"New London, CT",9011
"Tolland, CT",9013
"Windham, CT",9015
DELAWARE,10000
"Kent, DE",10001
"New Castle, DE",10003
"Sussex, DE",10005
DISTRICT OF COLUMBIA,11000
District of Columbia,11001
FLORIDA,12000
"Alachua, FL",12001
"Baker, FL",12003
"Bay, FL",12005
"Bradford, FL",12007
"Brevard, FL",12009
"Broward, FL",12011
"Calhoun, FL",12013
